date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:33:37	9625/9625	---M-Z	200	added ('OK')	text/html	etag:%222599-6399f9e6215dc-gzip%22	https://www.correos.es/es/es/herramientas/localizador/envios/detalle	C:/Mis%20lugares%20Web/CORREO/www.correos.es/es/es/herramientas/localizador/envios/detalle.html	(from )
06:33:38	145/145	---M-Z	200	added ('OK')	text/plain	etag:%22be-62469f347d100-gzip%22	https://www.correos.es/robots.txt		(from )
06:33:39	114462/114462	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2020:37:54%20GMT	https://www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit.css?numero=8f5e0bc009fbe0e502e4dda7c449bc0f	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit1900.css	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:40	129687/129687	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20Jun%202025%2021:55:21%20GMT	https://www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit.js?numero=9f992b9eec1748db10b04b8a1866239f	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit44dd.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:40	108674/108674	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Jun%202025%2020:34:12%20GMT	https://www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit.esm.js?numero=2909fe7635c5a4048e97a2047bc697ea	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit.esm8b71.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:40	166385/166385	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2020:43:43%20GMT	https://www.correos.es/etc/clientlibs/comunlibs/arq-ui-kit.css?numero=0b1e741448269630a2dae64e63d1e822	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc/clientlibs/comunlibs/arq-ui-kitba6c.css	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:41	129679/129679	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20Jun%202025%2022:05:08%20GMT	https://www.correos.es/etc/clientlibs/comunlibs/arq-ui-kit.js?numero=4fb3148ac551d25d9b6797d4ce626e02	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc/clientlibs/comunlibs/arq-ui-kit19e5.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:41	93549/93549	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Jun%202025%2020:43:42%20GMT	https://www.correos.es/etc/clientlibs/comunlibs/arq-ui-kit.esm.js?numero=994fbd89e735848b0551e0168812e0a8	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc/clientlibs/comunlibs/arq-ui-kit.esm8135.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:41	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-5b6acbb815a00%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-dependencies.min.d41d8cd98f00b204e9800998ecf8427e.js	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-dependencies.min.d41d8cd98f00b204e9800998ecf8427e.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:42	5206/5206	---M-Z	200	added ('OK')	text/css	etag:%221456-5b6acb773c100-gzip%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-base.min.7d250654d6a4ba422176cd385b93bb36.css	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-base.min.7d250654d6a4ba422176cd385b93bb36.css	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:42	2532/2532	---M-Z	200	added ('OK')	image/svg+xml	etag:%229e4-5bfef2c8bc640-gzip%22	https://www.correos.es/content/dam/correos/imagenes/iconos/CORREOS-favicon.svg	C:/Mis%20lugares%20Web/CORREO/www.correos.es/content/dam/correos/imagenes/iconos/CORREOS-favicon.svg	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:43	458/458	---M-Z	200	added ('OK')	application/json	date:Mon,%2018%20Jan%202021%2021:55:15%20GMT	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-react/resources/manifest.json	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-react/resources/manifest.json	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:43	375367/375367	---M-Z	200	added ('OK')	application/x-javascript	etag:%226a80991fe131d88dfa146e64acfaefa6:1749039810.856293%22	http://assets.adobedtm.com/31e842d3af0a/e239f3676926/launch-22ce7a1a18b2.min.js	C:/Mis%20lugares%20Web/CORREO/assets.adobedtm.com/31e842d3af0a/e239f3676926/launch-22ce7a1a18b2.min.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:44	335388/335388	---M-Z	200	added ('OK')	text/css	etag:%2251e1c-637ca6dd71e80-gzip%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-react.min.12eb2eb8160464b36e9595f458244266.css	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-react.min.12eb2eb8160464b36e9595f458244266.css	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:45	1137/1137	---M-Z	200	added ('OK')	application/javascript	etag:%22471-5d0fb7ee72700-gzip%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-provider-correosid.min.ed8e3f9c92c02f27ac1f60e6503eb3e8.js	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-provider-correosid.min.ed8e3f9c92c02f27ac1f60e6503eb3e8.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:46	5683891/5683891	---MCZ	200	added ('OK')	application/javascript	etag:%2256bab3-637ca6dd71e80-gzip%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-react.min.8cf01310b1a7f57772c0146a9291ab47.js	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-react.min.8cf01310b1a7f57772c0146a9291ab47.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:46	971/971	---M-Z	200	added ('OK')	application/javascript	etag:%223cb-5fea99453c7c0-gzip%22	https://www.correos.es/etc.clientlibs/core/wcm/components/commons/site/clientlibs/container.min.c8339545b501e3db3abc37c9a4cc2d6e.js	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/core/wcm/components/commons/site/clientlibs/container.min.c8339545b501e3db3abc37c9a4cc2d6e.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:47	139549/139549	---M-Z	200	added ('OK')	application/javascript	etag:%222211d-616285e3071c0-gzip%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-base.min.feb344e1e9ce6d28711e600e19366ba4.js	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-base.min.feb344e1e9ce6d28711e600e19366ba4.js	(from https://www.correos.es/es/es/herramientas/localizador/envios/detalle)
06:33:47	588882/588882	---MCZ	200	added ('OK')	image/svg+xml	etag:%228fc52-637ca6dd71e80-gzip%22	https://www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-base/resources/assets/fonts/correos-icons.1749724614530.svg	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos/clientlibs/clientlib-base/resources/assets/fonts/correos-icons.1749724614530.svg	(from https://www.correos.es/etc/clientlibs/correoslibs/correos-ui-kit.css?numero=8f5e0bc009fbe0e502e4dda7c449bc0f)
06:33:48	587806/587806	---MCZ	200	added ('OK')	image/svg+xml	etag:%228f81e-637ca980a5780-gzip%22	https://www.correos.es/etc.clientlibs/correos-comun-aem/clientlibs/clientlib-base/resources/assets/fonts/correos-icons.1749724646271.svg	C:/Mis%20lugares%20Web/CORREO/www.correos.es/etc.clientlibs/correos-comun-aem/clientlibs/clientlib-base/resources/assets/fonts/correos-icons.1749724646271.svg	(from https://www.correos.es/etc/clientlibs/comunlibs/arq-ui-kit.css?numero=0b1e741448269630a2dae64e63d1e822)
06:33:49	79284/79284	---M-Z	200	added ('OK')	text/html	etag:%22135b4-638c77f3c517f-gzip%22	https://www.correos.es/es/es/herramientas/localizador/helpers/getObjectProperty.js	C:/Mis%20lugares%20Web/CORREO/www.correos.es/es/es/herramientas/localizador/helpers/getObjectProperty.html	(from http://assets.adobedtm.com/31e842d3af0a/e239f3676926/launch-22ce7a1a18b2.min.js)
06:33:52	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Jul%202025%2004:33:50%20GMT	https://www.correos.es/es/es/herramientas/localizador/envios/	C:/Mis%20lugares%20Web/CORREO/www.correos.es/es/es/herramientas/localizador/envios/index.html	(from http://assets.adobedtm.com/31e842d3af0a/e239f3676926/launch-22ce7a1a18b2.min.js)
